timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654227016493,199,https://www.demoblaze.com/index.html-12,200,OK,Performence Test Thread 1-5,text,true,,72556,575,9,9,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,85,0,0
1654227016557,311,https://www.demoblaze.com/index.html-13,200,OK,Performence Test Thread 1-5,text,true,,9178,552,9,9,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,302,0,0
1654227016651,309,https://www.demoblaze.com/index.html-14,200,OK,Performence Test Thread 1-5,text,true,,15376,558,9,9,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,298,0,0
1654227016693,102,https://www.demoblaze.com/index.html-15,200,OK,Performence Test Thread 1-5,text,true,,10258,522,9,9,https://www.demoblaze.com/js/index.js,94,0,0
1654227015641,1375,https://www.demoblaze.com/index.html,200,OK,Performence Test Thread 1-4,text,true,,633694,8602,9,9,https://www.demoblaze.com/index.html,407,0,113
1654227015641,430,https://www.demoblaze.com/index.html-0,200,OK,Performence Test Thread 1-4,text,true,,19902,521,9,9,https://www.demoblaze.com/index.html,407,0,113
1654227016073,290,https://www.demoblaze.com/index.html-1,200,OK,Performence Test Thread 1-4,bin,true,,5487,522,9,9,https://www.demoblaze.com/favicon.ico,288,0,0
1654227016073,497,https://www.demoblaze.com/index.html-2,200,OK,Performence Test Thread 1-4,text,true,,28355,560,9,9,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,434,0,133
1654227016074,227,https://www.demoblaze.com/index.html-3,200,OK,Performence Test Thread 1-4,text,true,,12298,554,9,9,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,210,0,124
1654227016074,430,https://www.demoblaze.com/index.html-4,200,OK,Performence Test Thread 1-4,text,true,,1288,528,9,9,https://www.demoblaze.com/css/latofonts.css,430,0,123
1654227016075,206,https://www.demoblaze.com/index.html-5,200,OK,Performence Test Thread 1-4,text,true,,1570,528,9,9,https://www.demoblaze.com/css/latostyle.css,206,0,119
1654227016075,206,https://www.demoblaze.com/index.html-6,200,OK,Performence Test Thread 1-4,bin,true,,4263,517,9,9,https://www.demoblaze.com/bm.png,201,0,116
1654227016282,340,https://www.demoblaze.com/index.html-7,200,OK,Performence Test Thread 1-4,bin,true,,27679,523,9,9,https://www.demoblaze.com/Samsung1.jpg,295,0,0
1654227016282,367,https://www.demoblaze.com/index.html-8,200,OK,Performence Test Thread 1-4,bin,true,,34140,521,9,9,https://www.demoblaze.com/nexus1.jpg,286,0,0
1654227016302,347,https://www.demoblaze.com/index.html-9,200,OK,Performence Test Thread 1-4,bin,true,,34899,522,9,9,https://www.demoblaze.com/iphone1.jpg,297,0,0
1654227016363,333,https://www.demoblaze.com/index.html-10,200,OK,Performence Test Thread 1-4,text,true,,35881,549,9,9,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,294,0,0
1654227016504,512,https://www.demoblaze.com/index.html-11,200,OK,Performence Test Thread 1-4,text,true,,160139,550,9,9,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,312,0,0
1654227016570,256,https://www.demoblaze.com/index.html-12,200,OK,Performence Test Thread 1-4,text,true,,232712,575,9,9,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,94,0,0
1654227016622,314,https://www.demoblaze.com/index.html-13,200,OK,Performence Test Thread 1-4,text,true,,9475,552,9,9,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,304,0,0
1654227016649,306,https://www.demoblaze.com/index.html-14,200,OK,Performence Test Thread 1-4,text,true,,15348,558,9,9,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,295,0,0
1654227016649,307,https://www.demoblaze.com/index.html-15,200,OK,Performence Test Thread 1-4,text,true,,10258,522,9,9,https://www.demoblaze.com/js/index.js,301,0,0
1654227016722,300,https://www.demoblaze.com/config.json,200,OK,Performence Test Thread 1-2,text,true,,379,437,9,9,https://www.demoblaze.com/config.json,300,0,0
1654227016887,310,https://www.demoblaze.com/config.json,200,OK,Performence Test Thread 1-3,text,true,,379,437,10,10,https://www.demoblaze.com/config.json,310,0,0
1654227016121,1136,https://www.demoblaze.com/index.html,200,OK,Performence Test Thread 1-6,text,true,,1024881,8602,10,10,https://www.demoblaze.com/index.html,217,0,124
1654227016121,242,https://www.demoblaze.com/index.html-0,200,OK,Performence Test Thread 1-6,text,true,,19902,521,10,10,https://www.demoblaze.com/index.html,217,0,124
1654227016365,256,https://www.demoblaze.com/index.html-1,200,OK,Performence Test Thread 1-6,bin,true,,5773,522,10,10,https://www.demoblaze.com/favicon.ico,238,0,145
1654227016365,430,https://www.demoblaze.com/index.html-2,200,OK,Performence Test Thread 1-6,text,true,,151281,560,10,10,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,328,0,0
